きもい,19,19,-2000,形容詞,自立,*,*,形容詞・アウオ段,基本形,きもい,キモイ,キモイ
うざい,19,19,-2000,形容詞,自立,*,*,形容詞・アウオ段,基本形,うざい,ウザイ,ウザイ
エモい,19,19,-2000,形容詞,自立,*,*,形容詞・アウオ段,基本形,エモい,エモイ,エモイ
ちゃちい,19,19,-2000,形容詞,自立,*,*,形容詞・アウオ段,基本形,ちゃちい,チャチイ,チャチイ
エロい,19,19,-2000,形容詞,自立,*,*,形容詞・アウオ段,基本形,エロい,エロイ,エロイ
グロい,19,19,-2000,形容詞,自立,*,*,形容詞・アウオ段,基本形,グロい,グロイ,グロイ
ワンチャン,1285,1285,-2000,名詞,一般,*,*,*,*,ワンチャン,ワンチャン,ワンチャン
コスパ,1285,1285,-2000,名詞,一般,*,*,*,*,コスパ,コスパ,コスパ
タイパ,1285,1285,-2000,名詞,一般,*,*,*,*,タイパ,タイパ,タイパ
リア充,1285,1285,-2000,名詞,一般,*,*,*,*,リア充,リアジュウ,リアジュウ
陰キャ,1285,1285,-2000,名詞,一般,*,*,*,*,陰キャ,インキャ,インキャ
陽キャ,1285,1285,-2000,名詞,一般,*,*,*,*,陽キャ,ヨウキャ,ヨウキャ
ぼっち,1285,1285,-2000,名詞,一般,*,*,*,*,ぼっち,ボッチ,ボッチ
ガチ勢,1285,1285,-2000,名詞,一般,*,*,*,*,ガチ勢,ガチゼイ,ガチゼイ
めちゃ,1283,1283,-2000,副詞,一般,*,*,*,*,めちゃ,メチャ,メチャ
どんまい,3,3,-2000,感動詞,*,*,*,*,*,どんまい,ドンマイ,ドンマイ
やったー,3,3,-2000,感動詞,*,*,*,*,*,やったー,ヤッター,ヤッター
そっか,3,3,-2000,感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ
まじか,3,3,-2000,感動詞,*,*,*,*,*,まじか,マジカ,マジカ
てか,1,1,-2000,接続詞,*,*,*,*,*,てか,テカ,テカ
なくちゃ,1,1,-2000,助詞,接続助詞,*,*,*,*,なくちゃ,ナクチャ,ナクチャ
なきゃ,1,1,-2000,助詞,接続助詞,*,*,*,*,なきゃ,ナキャ,ナキャ
